codigo_postal,localidad,latitud,longitud
46350,"Chera",39.5922,-0.9733
46351,"Las Nogueras",39.5816445,-1.0845028
46352,"Los Duques",39.4388507,-1.1889773
46353,"Los Ruices",39.4760839,-1.2532283
46354,"Los Isidros",39.4137686,-1.2950284
46355,"Casas De Juan Vich",39.3399402,-1.0809176
46356,"Casas Del Rio",39.3070541,-1.1329926
46357,"Hortunas",39.446062,-1.111682
46360,"Buñol",39.4227754,-0.7958536
46367,"Yatova",39.3833,-0.8
46368,"Macastre",39.3820026,-0.7852015
46369,"Alborache",39.3933,-0.7756
46370,"Chiva",39.4716908,-0.7105945
46380,"Cheste",39.4963051,-0.6815122
46388,"Godelleta",39.4237676,-0.6806503
46389,"Turis",39.3964492,-0.6425362
46390,"Chicanos",39.517389,-1.1562528
46391,"El Rebollar",39.469163,-1.0138723
46392,"Siete Aguas",39.4726181,-0.9147725
46393,"Loriguilla",39.4904521,-0.5712263
46394,"Oliveral, Del (Masia)",39.5100908,-0.5970224
46400,"Cullera",39.1659908,-0.2474436
46408,"El Dosel",39.2027531,-0.2327581
46409,"El Estany",39.1294,-0.2343
46410,"Sueca",39.2258006,-0.2890686
46417,"Riola",39.1966,-0.3349
46418,"Fortaleny",39.1833,-0.3145
46419,"Mareny De Vilches",39.2369514,-0.2616758
46420,"El Perello",39.2746845,-0.2761554
46430,"Sollana",39.2796262,-0.383911
46439,"Romani",39.2833,-0.3667
46440,"Almussafes",39.3018788,-0.4171431
46450,"Benifaio",39.2860498,-0.4294353
46460,"Silla",39.3624107,-0.4117375
46469,"Beniparrell",39.3823012,-0.409994
46470,"Massanassa",39.4107,-0.399
46500,"Sagunt/Sagunto",39.716965,-0.2473025
46501,"Petres",39.6835754,-0.3096379
46510,"Quartell",39.7368209,-0.2650455
46511,"Benifairo De Les Valls",39.7333,-0.2667
46512,"Faura",39.7253804,-0.2621656
46513,"Estacion De Los Valles",39.7167,-0.2333
46514,"Benavites",39.7403594,-0.257748
46515,"Quart De Les Valls",39.7395254,-0.2715303
46520,"Almarda, De (Playa)",39.665515,-0.2237991
46529,"Canet D'En Berenguer",39.67647,-0.21234
46530,"Puçol",39.604563,-0.3152977
46540,"El Puig",39.5969491,-0.3191273
46550,"Albuixech",39.5446185,-0.3206463
46560,"Massalfassar",39.5576539,-0.3243392
46590,"Estivella",39.7129,-0.3485
46591,"Albalat Dels Taronchers",39.7,-0.3333
46592,"Segart",39.6841,-0.3903
46593,"Algar De Palancia",39.7813545,-0.3673347
46594,"Alfara De La Baronia",39.7626673,-0.3549675
46595,"Torres-Torres",39.7333,-0.35
46600,"Alzira",39.1503939,-0.4372536
46610,"Guadassuar",39.1877017,-0.4780733
46611,"Benimuslem",39.1336713,-0.4890746
46612,"Corbera",39.1573803,-0.3526452
46613,"Llauri",39.1385047,-0.3278005
46614,"Favara",39.1275,-0.2909
46620,"Ayora",39.0583262,-1.0561962
46621,"Zarra",39.0917209,-1.0749047
46622,"Teresa De Cofrentes",39.1074486,-1.053133
46623,"Jarafuel",39.1399,-1.0735
46624,"Jalance",39.1909369,-1.077146
46625,"Cofrentes",39.2323306,-1.0755065
46630,"La Font De La Figuera",38.8055502,-0.8773639
46635,"Fontanars Dels Alforins",38.7833,-0.7833
46640,"Mogente/Moixent",38.8723214,-0.7543328
46650,"Canals",38.9635549,-0.5841913
46659,"Ayacor",38.9721,-0.577
46660,"Manuel",39.052153,-0.494451
46666,"Rafelguaraf",39.0521454,-0.4546898
46667,"Barxeta",39.0222247,-0.4182853
46668,"Llocnou D'En Fenollet",39.0136766,-0.4672255
46669,"Enova, L'",39.071,-0.487
46670,"La Pobla Llarga",38.9956343,-0.5523624
46680,"Carrascalet",39.1925765,-0.4352199
46687,"Albalat De La Ribera",39.2,-0.3833
46688,"Polinya De Xuquer",39.1959882,-0.3695537
46689,"Benicull De Xuquer",39.1850296,-0.3824248
46690,"Alcudia De Crespins, L'",38.9747484,-0.5961902
46691,"Vallada",38.8959,-0.6912
46692,"Montesa",38.950216,-0.6528872
46700,"Gandia",38.9772134,-0.1807455
46701,"Gandia",38.9696482,-0.1814108
46702,"Gandia",38.9638218,-0.1849303
46703,"Gandia",38.9635,-0.1945
46710,"Daimus",38.9696998,-0.150239
46711,"Guardamar De La Safor",38.9504,-0.1401
46712,"Piles",38.9470076,-0.1210209
46713,"Bellreguard Poble",38.9545436,-0.1472161
46714,"Palmera",38.9415996,-0.1555187
46715,"Alqueria De La Comtessa, L'/Alqueria De La Condesa",38.9359412,-0.1468847
46716,"Rafelcofer",38.9322,-0.1677
46717,"La Font D'En Carros",38.94,-0.1397
46720,"Villalonga",38.8828271,-0.2104607
46721,"Potries",38.9223115,-0.184305
46722,"Benifla",38.9281,-0.1782
46723,"Almoines",38.9432862,-0.1819791
46724,"Palma De Gandia",38.9267,-0.2203
46725,"Rotova",38.9322048,-0.2577294
46726,"Almisera",38.9144204,-0.2952362
46727,"Real De Gandia",38.9482,-0.1924
46728,"Marchuquera",38.9665728,-0.23639
46729,"Montecorona (Urbanitzacio)",38.9203784,-0.2245036
46730,"Moli Santa Maria",38.9946883,-0.164236
46740,"Carcaixent",39.1202534,-0.4452372
46749,"Cogullada",39.1108,-0.4628
46750,"Simat De La Valldigna",39.0429011,-0.305225
46758,"Barx",39.0131907,-0.3012222
46759,"Corrales De Valldigna",39.0179,-0.3001
46760,"Tavernes De La Valldigna",39.0754344,-0.257577
46770,"Xeraco",39.0347594,-0.2175909
46780,"Oliva",38.9212317,-0.1146314
46790,"Xeresa",39.0116185,-0.2170418
46791,"Benifairo De La Valldigna",39.0533353,-0.302224
46792,"Barraca D'Aigues Vives",39.0984867,-0.3714542
46800,"Torre De Lloris",38.9881061,-0.5193811
46810,"Enguera",38.9807518,-0.6872802
46811,"Navalon De Abajo",38.9259,-0.8748
46812,"Aielo De Malferit",38.8776615,-0.5902184
46813,"Cerda",38.9833,-0.5667
46814,"Llanera De Ranes",38.9951,-0.5753
46815,"La Llosa De Ranes",39.0175481,-0.5328662
46816,"Torrent De Fenollet",39.0036355,-0.5670465
46817,"Estubeny",39.0180129,-0.6237321
46818,"La Granja De La Costera",38.9858246,-0.5561928
46819,"Novele/Novetle",38.9707,-0.6399
46820,"Barrio Fuente Negra",39.024368,-0.6507126
46821,"Chella",39.0526484,-0.6680272
46822,"Bolbaite",39.0608,-0.6741
46823,"Navarres",39.102,-0.6947
46824,"Quesa",39.1179373,-0.7386978
46825,"Bicorp",39.1320989,-0.787738
46830,"Beniganim",38.95,-0.4333
46837,"Quatretonda",38.9459,-0.402
46838,"Pinet",38.9831,-0.3382
46839,"Sempere",38.9196079,-0.4803188
46840,"La Pobla Del Duc",38.8824,-0.3386
46841,"Castello De Rugat",38.8733907,-0.3840189
46842,"Terrateig",38.8794555,-0.3498663
46843,"Rafol De Salem",38.8530331,-0.3757604
46844,"Beniatjar",38.8532469,-0.444589
46850,"Olleria, L'",38.9117405,-0.5405453
46860,"Albaida",38.8392176,-0.5192342
46868,"Belgida",38.8591914,-0.474511
